Bug,Configuration,Id,Time,Found
B2,delay-time,29,2666,1
B2,delay-time,30,1327,1
B2,priority-proposal,1,0,0
B2,priority-proposal,2,0,0
B2,priority-proposal,3,0,0
B2,priority-proposal,4,0,0
B2,priority-proposal,5,0,0
B2,priority-proposal,6,0,0
B2,priority-proposal,7,0,0
B2,priority-proposal,8,0,0
B2,priority-proposal,9,0,0
B2,priority-proposal,10,0,0
B2,priority-rand,1,0,0
B2,priority-rand,2,0,0
B2,priority-rand,3,0,0
B2,priority-rand,4,0,0
B2,priority-rand,5,0,0
B2,priority-rand,6,0,0
B2,priority-rand,7,0,0
B2,priority-rand,8,0,0
B2,priority-rand,9,0,0
B2,priority-rand,10,0,0
B2,priority-time,1,0,0
B2,priority-time,2,0,0
B2,priority-time,3,0,0
B2,priority-time,4,0,0
B2,priority-time,5,0,0
B2,priority-time,6,0,0
B2,priority-time,7,0,0
B2,priority-time,8,0,0
B2,priority-time,9,0,0
B2,priority-time,10,0,0
B3,delay-proposal,1,1377,1
B3,delay-proposal,2,1061,1
B3,delay-proposal,3,0,0
B3,delay-proposal,4,0,0
B3,delay-proposal,5,3250,1
B3,delay-proposal,6,345,1
B3,delay-proposal,7,0,0
B3,delay-proposal,8,0,0
B3,delay-proposal,9,1024,1
B3,delay-proposal,10,0,0
B3,delay-proposal,11,0,0
B3,delay-proposal,12,0,0
B3,delay-proposal,13,0,0
B3,delay-proposal,14,620,1
B3,delay-proposal,15,0,0
B3,delay-proposal,16,0,0
B3,delay-proposal,17,1880,1
B3,delay-proposal,18,653,1
B3,delay-proposal,19,0,0
B3,delay-proposal,20,322,1
B3,delay-proposal,21,874,1
B3,delay-proposal,22,0,0
B3,delay-proposal,23,393,1
B3,delay-proposal,24,1571,1
B3,delay-proposal,25,3368,1
B3,delay-proposal,26,1531,1
B3,delay-proposal,27,2610,1
B3,delay-proposal,28,0,0
B3,delay-proposal,29,0,0
B3,delay-proposal,30,339,1
B3,delay-rand,1,0,0
B3,delay-rand,2,827,1
B3,delay-rand,3,1117,1
B3,delay-rand,4,279,1
B3,delay-rand,5,0,0
B3,delay-rand,6,374,1
B3,delay-rand,7,1043,1
B3,delay-rand,8,2427,1
B3,delay-rand,9,395,1
B3,delay-rand,10,0,0
B3,delay-rand,11,2018,1
B3,delay-rand,12,3384,1
B3,delay-rand,13,3022,1
B3,delay-rand,14,2755,1
B3,delay-rand,15,171,1
B3,delay-rand,16,0,0
B3,delay-rand,17,728,1
B3,delay-rand,18,1785,1
B3,delay-rand,19,584,1
B3,delay-rand,20,0,0
B3,delay-rand,21,0,0
B3,delay-rand,22,2742,1
B3,delay-rand,23,2252,1
B3,delay-rand,24,0,0
B3,delay-rand,25,0,0
B3,delay-rand,26,1533,1
B3,delay-rand,27,2028,1
B3,delay-rand,28,0,0
B3,delay-rand,29,1860,1
B3,delay-rand,30,0,0
B3,delay-time,1,431,1
B3,delay-time,2,0,0
B3,delay-time,3,3238,1
B3,delay-time,4,0,0
B3,delay-time,5,2024,1
B3,delay-time,6,1767,1
B3,delay-time,7,829,1
B3,delay-time,8,0,0
B3,delay-time,9,0,0
B3,delay-time,10,235,1
B3,delay-time,11,2887,1
B3,delay-time,12,777,1
B3,delay-time,13,1267,1
B3,delay-time,14,579,1
B3,delay-time,15,1241,1
B3,delay-time,16,3358,1
B3,delay-time,17,2505,1
B3,delay-time,18,181,1
B3,delay-time,19,2228,1
B3,delay-time,20,0,0
B3,delay-time,21,1185,1
B3,delay-time,22,0,0
B3,delay-time,23,3453,1
B3,delay-time,24,1365,1
B3,delay-time,25,2155,1
B3,delay-time,26,987,1
B3,delay-time,27,2261,1
B3,delay-time,28,1254,1
B3,delay-time,29,675,1
B3,delay-time,30,0,0
B3,priority-proposal,1,0,0
B3,priority-proposal,2,0,0
B3,priority-proposal,3,2893,1
B3,priority-proposal,4,0,0
B3,priority-proposal,5,0,0
B3,priority-proposal,6,0,0
B3,priority-proposal,7,0,0
B3,priority-proposal,8,0,0
B3,priority-proposal,9,0,0
B3,priority-proposal,10,0,0
B3,priority-rand,1,0,0
B3,priority-rand,2,0,0
B3,priority-rand,3,0,0
B3,priority-rand,4,0,0
B3,priority-rand,5,0,0
B3,priority-rand,6,0,0
B3,priority-rand,7,0,0
B3,priority-rand,8,0,0
B3,priority-rand,9,0,0
B3,priority-rand,10,0,0
B3,priority-time,1,0,0
B3,priority-time,2,0,0
B3,priority-time,3,0,0
B3,priority-time,4,0,0
B3,priority-time,5,0,0
B3,priority-time,6,0,0
B3,priority-time,7,0,0
B3,priority-time,8,0,0
B3,priority-time,9,0,0
B3,priority-time,10,0,0
